,Unnamed: 0,0,10,50,100,200,500,1000
0,0.0001,0.82,0.82,0.82,0.82,0.82,0.82,0.82
1,0.0002,0.9,0.9,0.9,0.9,0.9,0.9,0.9
2,0.0003,0.92,0.92,0.92,0.92,0.92,0.92,0.92
3,0.0004,0.98,0.98,0.98,0.98,0.98,0.98,0.98
4,0.0005,1,1,1,1,1,1,1
5,0.0006,1,1,1,1,1,1,1
6,0.0007,1,1,1,1,1,1,1
7,0.0008,1,1,1,1,1,1,1
8,0.0009,1,1,1,1,1,1,1
9,0.001,1,1,1,1,1,1,1
10,0.0011,1,1,1,1,1,1,1
11,0.0012,1,1,1,1,1,1,1
12,0.0013,1,1,1,1,1,1,1
13,0.0014,1,1,1,1,1,1,1
14,0.0015,1,1,1,1,1,1,1
15,0.0016,0.98,0.98,0.98,0.98,0.98,0.98,0.98
16,0.0017,0.96,0.98,0.96,0.96,0.96,0.96,0.96
17,0.0018,0.96,0.96,0.96,0.96,0.96,0.96,0.96
18,0.0019,0.96,0.96,0.96,0.96,0.96,0.96,0.96
19,0.002,0.92,0.96,0.92,0.92,0.92,0.92,0.92
20,0.0021,0.92,0.92,0.92,0.92,0.92,0.92,0.92
21,0.0022,0.9,0.92,0.9,0.9,0.9,0.9,0.9
22,0.0023,0.88,0.9,0.88,0.88,0.88,0.88,0.88
23,0.0024,0.88,0.88,0.88,0.88,0.88,0.88,0.88
24,0.0025,0.88,0.88,0.88,0.88,0.88,0.88,0.88
25,0.0026,0.88,0.88,0.88,0.88,0.88,0.88,0.88
26,0.0027,0.82,0.82,0.82,0.82,0.82,0.82,0.82
27,0.0028,0.86,0.88,0.86,0.86,0.86,0.86,0.86
28,0.0029,0.8,0.82,0.8,0.8,0.8,0.8,0.8
29,0.003,0.84,0.86,0.86,0.86,0.86,0.84,0.84
30,0.0031,0.84,0.8,0.88,0.88,0.88,0.88,0.84
31,0.0032,0.82,0.8,0.9,0.82,0.82,0.84,0.82
32,0.0033,0.82,0.82,0.82,0.72,0.84,0.84,0.82
33,0.0034,0.82,0.82,0.84,0.82,0.72,0.82,0.82
34,0.0035,0.86,0.84,0.72,0.96,0.72,0.82,0.96
